Team1,Team2,Game Date,W/L
DET,MIL,01/11/2013,W
MIL,DET,01/11/2013,L
NYK,CHI,01/11/2013,L
CHI,NYK,01/11/2013,W
BOS,HOU,01/11/2013,W
GSW,POR,01/11/2013,W
CHA,TOR,01/11/2013,L
HOU,BOS,01/11/2013,L
BKN,PHX,01/11/2013,W
OKC,LAL,01/11/2013,W
LAL,OKC,01/11/2013,L
ATL,UTA,01/11/2013,W
TOR,CHA,01/11/2013,W
SAS,MEM,01/11/2013,L
MEM,SAS,01/11/2013,W
UTA,ATL,01/11/2013,L
POR,GSW,01/11/2013,L
NYK,IND,01/10/2013,L
IND,NYK,01/10/2013,W
POR,MIA,01/10/2013,W
MIA,POR,01/10/2013,L
SAC,DAL,01/10/2013,L
DAL,SAC,01/10/2013,W
LAC,DAL,01/09/2013,W
BOS,PHX,01/09/2013,W
DAL,LAC,01/09/2013,L
ORL,DEN,01/09/2013,L
PHX,BOS,01/09/2013,L
SAS,LAL,01/09/2013,W
DEN,ORL,01/09/2013,W
PHI,TOR,01/09/2013,L
LAL,SAS,01/09/2013,L
NOH,HOU,01/09/2013,W
MEM,GSW,01/09/2013,W
GSW,MEM,01/09/2013,L
CLE,ATL,01/09/2013,W
CHA,UTA,01/09/2013,L
UTA,CHA,01/09/2013,W
MIN,OKC,01/09/2013,L
OKC,MIN,01/09/2013,W
ATL,CLE,01/09/2013,L
MIL,CHI,01/09/2013,W
CHI,MIL,01/09/2013,L
HOU,NOH,01/09/2013,L
TOR,PHI,01/09/2013,W
MIA,IND,01/08/2013,L
BKN,PHI,01/08/2013,W
PHI,BKN,01/08/2013,L
LAL,HOU,01/08/2013,L
MIL,PHX,01/08/2013,W
MIN,ATL,01/08/2013,W
PHX,MIL,01/08/2013,L
ATL,MIN,01/08/2013,L
HOU,LAL,01/08/2013,W
IND,MIA,01/08/2013,W
SAS,NOH,01/07/2013,L
OKC,WAS,01/07/2013,L
CHI,CLE,01/07/2013,W
CLE,CHI,01/07/2013,L
NOH,SAS,01/07/2013,W
MEM,SAC,01/07/2013,W
SAC,MEM,01/07/2013,L
NYK,BOS,01/07/2013,L
BOS,NYK,01/07/2013,W
ORL,POR,01/07/2013,L
WAS,OKC,01/07/2013,W
DAL,UTA,01/07/2013,L
UTA,DAL,01/07/2013,W
POR,ORL,01/07/2013,W
MIA,WAS,01/06/2013,W
WAS,MIA,01/06/2013,L
TOR,OKC,01/06/2013,L
OKC,TOR,01/06/2013,W
LAL,DEN,01/06/2013,L
DEN,LAL,01/06/2013,W
CHA,DET,01/06/2013,W
DET,CHA,01/06/2013,L
PHX,MEM,01/06/2013,L
MEM,PHX,01/06/2013,W
BKN,SAC,01/05/2013,W
DAL,NOH,01/05/2013,L
NOH,DAL,01/05/2013,W
MIL,IND,01/05/2013,L
IND,MIL,01/05/2013,W
NYK,ORL,01/05/2013,W
PHI,SAS,01/05/2013,L
SAS,PHI,01/05/2013,W
LAC,GSW,01/05/2013,W
GSW,LAC,01/05/2013,L
ORL,NYK,01/05/2013,L
SAC,BKN,01/05/2013,L
BOS,ATL,01/05/2013,W
ATL,BOS,01/05/2013,L
CLE,HOU,01/05/2013,L
MIN,POR,01/05/2013,L
HOU,CLE,01/05/2013,W
POR,MIN,01/05/2013,W
UTA,DEN,01/05/2013,L
DEN,UTA,01/05/2013,W
ATL,DET,01/04/2013,L
DET,ATL,01/04/2013,W
CLE,CHA,01/04/2013,W
CHA,CLE,01/04/2013,L
TOR,SAC,01/04/2013,L
SAC,TOR,01/04/2013,W
IND,BOS,01/04/2013,L
LAL,LAC,01/04/2013,L
LAC,LAL,01/04/2013,W
CHI,MIA,01/04/2013,W
MIA,CHI,01/04/2013,L
HOU,MIL,01/04/2013,W
UTA,PHX,01/04/2013,W
PHX,UTA,01/04/2013,L
BKN,WAS,01/04/2013,W
WAS,BKN,01/04/2013,L
BOS,IND,01/04/2013,W
PHI,OKC,01/04/2013,L
OKC,PHI,01/04/2013,W
POR,MEM,01/04/2013,W
MEM,POR,01/04/2013,L
MIL,HOU,01/04/2013,L
MIN,DEN,01/03/2013,W
DEN,MIN,01/03/2013,L
SAS,NYK,01/03/2013,L
NYK,SAS,01/03/2013,W
HOU,NOH,01/02/2013,W
UTA,MIN,01/02/2013,W
MIN,UTA,01/02/2013,L
BKN,OKC,01/02/2013,W
OKC,BKN,01/02/2013,L
DAL,MIA,01/02/2013,L
NOH,HOU,01/02/2013,L
LAC,GSW,01/02/2013,L
GSW,LAC,01/02/2013,W
MEM,BOS,01/02/2013,W
MIA,DAL,01/02/2013,W
CHI,ORL,01/02/2013,W
ORL,CHI,01/02/2013,L
PHI,PHX,01/02/2013,L
BOS,MEM,01/02/2013,L
IND,WAS,01/02/2013,W
WAS,IND,01/02/2013,L
PHX,PHI,01/02/2013,W
SAS,MIL,01/02/2013,W
CLE,SAC,01/02/2013,L
SAC,CLE,01/02/2013,W
MIL,SAS,01/02/2013,L
POR,TOR,01/02/2013,L
TOR,POR,01/02/2013,W
DAL,WAS,01/01/2013,W
POR,NYK,01/01/2013,W
DET,SAC,01/01/2013,W
SAC,DET,01/01/2013,L
LAC,DEN,01/01/2013,L
DEN,LAC,01/01/2013,W
ATL,NOH,01/01/2013,W
NOH,ATL,01/01/2013,L
WAS,DAL,01/01/2013,L
NYK,POR,01/01/2013,L
PHI,LAL,01/01/2013,W
LAL,PHI,01/01/2013,L
CHA,CHI,12/31/2012,W
MEM,IND,12/31/2012,L
IND,MEM,12/31/2012,W
CHI,CHA,12/31/2012,L
ORL,MIA,12/31/2012,L
SAS,BKN,12/31/2012,W
BKN,SAS,12/31/2012,L
MIA,ORL,12/31/2012,W
PHX,OKC,12/31/2012,L
ATL,HOU,12/31/2012,L
OKC,PHX,12/31/2012,W
HOU,ATL,12/31/2012,W
SAC,BOS,12/30/2012,W
BOS,SAC,12/30/2012,L
UTA,LAC,12/30/2012,L
LAC,UTA,12/30/2012,W
MIL,DET,12/30/2012,L
DET,MIL,12/30/2012,W
DAL,SAS,12/30/2012,L
SAS,DAL,12/30/2012,W
CHA,NOH,12/29/2012,L
NOH,CHA,12/29/2012,W
ORL,TOR,12/29/2012,L
IND,ATL,12/29/2012,L
ATL,IND,12/29/2012,W
DEN,MEM,12/29/2012,L
MIN,PHX,12/29/2012,W
MEM,DEN,12/29/2012,W
PHX,MIN,12/29/2012,L
GSW,BOS,12/29/2012,W
TOR,ORL,12/29/2012,W
CLE,BKN,12/29/2012,L
BKN,CLE,12/29/2012,W
MIL,MIA,12/29/2012,W
MIA,MIL,12/29/2012,L
BOS,GSW,12/29/2012,L
HOU,OKC,12/29/2012,L
OKC,HOU,12/29/2012,W
POR,PHI,12/29/2012,W
CHI,WAS,12/29/2012,W
WAS,CHI,12/29/2012,L
PHI,POR,12/29/2012,L
NYK,SAC,12/28/2012,L
LAL,POR,12/28/2012,W
POR,LAL,12/28/2012,L
SAC,NYK,12/28/2012,W
WAS,ORL,12/28/2012,W
ORL,WAS,12/28/2012,L
PHI,GSW,12/28/2012,L
ATL,CLE,12/28/2012,W
PHX,IND,12/28/2012,L
UTA,LAC,12/28/2012,L
LAC,UTA,12/28/2012,W
IND,PHX,12/28/2012,W
GSW,PHI,12/28/2012,W
DEN,DAL,12/28/2012,W
DAL,DEN,12/28/2012,L
BKN,CHA,12/28/2012,W
CHA,BKN,12/28/2012,L
CLE,ATL,12/28/2012,L
HOU,SAS,12/28/2012,L
SAS,HOU,12/28/2012,W
TOR,NOH,12/28/2012,W
NOH,TOR,12/28/2012,L
DET,MIA,12/28/2012,W
MIA,DET,12/28/2012,L
LAC,BOS,12/27/2012,W
BOS,LAC,12/27/2012,L
OKC,DAL,12/27/2012,W
DAL,OKC,12/27/2012,L
BKN,MIL,12/26/2012,L
CHA,MIA,12/26/2012,L
HOU,MIN,12/26/2012,W
MIA,CHA,12/26/2012,W
WAS,CLE,12/26/2012,L
CLE,WAS,12/26/2012,W
MEM,PHI,12/26/2012,L
ATL,DET,12/26/2012,W
DET,ATL,12/26/2012,L
PHX,NYK,12/26/2012,L
NYK,PHX,12/26/2012,W
DEN,LAL,12/26/2012,W
LAL,DEN,12/26/2012,L
PHI,MEM,12/26/2012,W
ORL,NOH,12/26/2012,L
NOH,ORL,12/26/2012,W
SAS,TOR,12/26/2012,W
MIN,HOU,12/26/2012,L
TOR,SAS,12/26/2012,L
GSW,UTA,12/26/2012,W
UTA,GSW,12/26/2012,L
POR,SAC,12/26/2012,W
SAC,POR,12/26/2012,L
MIL,BKN,12/26/2012,W
BOS,BKN,12/25/2012,W
BKN,BOS,12/25/2012,L
DEN,LAC,12/25/2012,L
LAC,DEN,12/25/2012,W
LAL,NYK,12/25/2012,W
OKC,MIA,12/25/2012,L
MIA,OKC,12/25/2012,W
HOU,CHI,12/25/2012,W
CHI,HOU,12/25/2012,L
NYK,LAL,12/25/2012,L
SAS,DAL,12/23/2012,W
DAL,SAS,12/23/2012,L
POR,SAC,12/23/2012,L
ORL,UTA,12/23/2012,L
MIN,NYK,12/23/2012,L
NYK,MIN,12/23/2012,W
UTA,ORL,12/23/2012,W
SAC,POR,12/23/2012,W
LAC,PHX,12/23/2012,W
PHX,LAC,12/23/2012,L
BKN,PHI,12/23/2012,W
PHI,BKN,12/23/2012,L
DET,WAS,12/22/2012,W
WAS,DET,12/22/2012,L
ATL,CHI,12/22/2012,W
NOH,IND,12/22/2012,L
LAL,GSW,12/22/2012,W
IND,NOH,12/22/2012,W
MIA,UTA,12/22/2012,W
UTA,MIA,12/22/2012,L
CHI,ATL,12/22/2012,L
PHX,POR,12/22/2012,L
CHA,DEN,12/22/2012,L
MEM,HOU,12/22/2012,L
HOU,MEM,12/22/2012,W
DEN,CHA,12/22/2012,W
POR,PHX,12/22/2012,W
CLE,MIL,12/22/2012,W
MIL,CLE,12/22/2012,L
GSW,LAL,12/22/2012,L
WAS,DET,12/21/2012,L
DET,WAS,12/21/2012,W
NOH,SAS,12/21/2012,L
TOR,ORL,12/21/2012,W
IND,CLE,12/21/2012,W
ORL,TOR,12/21/2012,L
CLE,IND,12/21/2012,L
PHI,ATL,12/21/2012,W
ATL,PHI,12/21/2012,L
LAC,SAC,12/21/2012,W
SAS,NOH,12/21/2012,W
MEM,DAL,12/21/2012,W
DAL,MEM,12/21/2012,L
BOS,MIL,12/21/2012,L
MIL,BOS,12/21/2012,W
NYK,CHI,12/21/2012,L
CHI,NYK,12/21/2012,W
GSW,CHA,12/21/2012,W
CHA,GSW,12/21/2012,L
SAC,LAC,12/21/2012,L
OKC,MIN,12/20/2012,L
MIN,OKC,12/20/2012,W
DAL,MIA,12/20/2012,L
POR,DEN,12/20/2012,W
MIA,DAL,12/20/2012,W
DEN,POR,12/20/2012,L
BKN,NYK,12/19/2012,L
CLE,BOS,12/19/2012,L
BOS,CLE,12/19/2012,W
NYK,BKN,12/19/2012,W
GSW,SAC,12/19/2012,L
SAC,GSW,12/19/2012,W
PHI,HOU,12/19/2012,L
WAS,ORL,12/19/2012,L
ORL,WAS,12/19/2012,W
ATL,OKC,12/19/2012,L
OKC,ATL,12/19/2012,W
LAC,NOH,12/19/2012,W
NOH,LAC,12/19/2012,L
UTA,IND,12/19/2012,L
IND,UTA,12/19/2012,W
MEM,MIL,12/19/2012,W
MIL,MEM,12/19/2012,L
PHX,CHA,12/19/2012,W
TOR,DET,12/19/2012,W
DET,TOR,12/19/2012,L
CHA,PHX,12/19/2012,L
HOU,PHI,12/19/2012,W
LAL,CHA,12/18/2012,W
CHA,LAL,12/18/2012,L
PHI,DAL,12/18/2012,L
DAL,PHI,12/18/2012,W
NOH,GSW,12/18/2012,L
GSW,NOH,12/18/2012,W
IND,MIL,12/18/2012,L
MIA,MIN,12/18/2012,W
MIN,MIA,12/18/2012,L
UTA,BKN,12/18/2012,W
BKN,UTA,12/18/2012,L
CHI,BOS,12/18/2012,W
BOS,CHI,12/18/2012,L
SAS,DEN,12/18/2012,L
DEN,SAS,12/18/2012,W
TOR,CLE,12/18/2012,W
CLE,TOR,12/18/2012,L
MIL,IND,12/18/2012,W
ATL,WAS,12/18/2012,W
WAS,ATL,12/18/2012,L
DET,LAC,12/17/2012,L
ORL,MIN,12/17/2012,W
MIN,ORL,12/17/2012,L
PHX,SAC,12/17/2012,W
SAC,PHX,12/17/2012,L
HOU,NYK,12/17/2012,W
NYK,HOU,12/17/2012,L
CHI,MEM,12/17/2012,L
MEM,CHI,12/17/2012,W
OKC,SAS,12/17/2012,W
SAS,OKC,12/17/2012,L
LAC,DET,12/17/2012,W
TOR,HOU,12/16/2012,W
PHI,LAL,12/16/2012,L
LAL,PHI,12/16/2012,W
NOH,POR,12/16/2012,L
HOU,TOR,12/16/2012,L
POR,NOH,12/16/2012,W
DEN,SAC,12/16/2012,W
SAC,DEN,12/16/2012,L
SAS,BOS,12/15/2012,W
UTA,MEM,12/15/2012,L
MEM,UTA,12/15/2012,W
NYK,CLE,12/15/2012,W
CLE,NYK,12/15/2012,L
ATL,GSW,12/15/2012,L
GSW,ATL,12/15/2012,W
ORL,CHA,12/15/2012,W
CHA,ORL,12/15/2012,L
CHI,BKN,12/15/2012,W
MIN,DAL,12/15/2012,W
DAL,MIN,12/15/2012,L
BKN,CHI,12/15/2012,L
MIL,LAC,12/15/2012,L
LAC,MIL,12/15/2012,W
DET,IND,12/15/2012,L
IND,DET,12/15/2012,W
MIA,WAS,12/15/2012,W
BOS,SAS,12/15/2012,L
WAS,MIA,12/15/2012,L
MIL,CLE,12/14/2012,W
MIN,NOH,12/14/2012,W
BOS,HOU,12/14/2012,L
BKN,DET,12/14/2012,W
DET,BKN,12/14/2012,L
PHI,IND,12/14/2012,L
CLE,MIL,12/14/2012,L
NOH,MIN,12/14/2012,L
HOU,BOS,12/14/2012,W
IND,PHI,12/14/2012,W
TOR,DAL,12/14/2012,W
DAL,TOR,12/14/2012,L
GSW,ORL,12/14/2012,L
OKC,SAC,12/14/2012,W
SAC,OKC,12/14/2012,L
ORL,GSW,12/14/2012,W
WAS,LAL,12/14/2012,L
LAL,WAS,12/14/2012,W
PHX,UTA,12/14/2012,W
UTA,PHX,12/14/2012,L
MEM,DEN,12/14/2012,L
DEN,MEM,12/14/2012,W
SAS,POR,12/13/2012,L
POR,SAS,12/13/2012,W
LAL,NYK,12/13/2012,L
CHA,ATL,12/13/2012,L
ATL,CHA,12/13/2012,W
NYK,LAL,12/13/2012,W
DAL,BOS,12/12/2012,L
ORL,ATL,12/12/2012,L
ATL,ORL,12/12/2012,W
TOR,BKN,12/12/2012,L
MIL,SAC,12/12/2012,W
NOH,OKC,12/12/2012,L
OKC,NOH,12/12/2012,W
BKN,TOR,12/12/2012,W
IND,CLE,12/12/2012,W
CLE,IND,12/12/2012,L
WAS,HOU,12/12/2012,L
HOU,WAS,12/12/2012,W
BOS,DAL,12/12/2012,W
CHI,PHI,12/12/2012,W
PHI,CHI,12/12/2012,L
MIN,DEN,12/12/2012,W
GSW,MIA,12/12/2012,W
UTA,SAS,12/12/2012,W
SAS,UTA,12/12/2012,L
MIA,GSW,12/12/2012,L
DEN,MIN,12/12/2012,L
CHA,LAC,12/12/2012,L
LAC,CHA,12/12/2012,W
PHX,MEM,12/12/2012,W
MEM,PHX,12/12/2012,L
SAC,MIL,12/12/2012,L
LAL,CLE,12/11/2012,L
LAC,CHI,12/11/2012,W
DEN,DET,12/11/2012,W
CLE,LAL,12/11/2012,W
CHI,LAC,12/11/2012,L
NYK,BKN,12/11/2012,W
BKN,NYK,12/11/2012,L
WAS,NOH,12/11/2012,W
NOH,WAS,12/11/2012,L
DET,DEN,12/11/2012,L
SAS,HOU,12/10/2012,W
ATL,MIA,12/10/2012,L
MIA,ATL,12/10/2012,W
GSW,CHA,12/10/2012,W
CHA,GSW,12/10/2012,L
SAC,DAL,12/10/2012,L
TOR,POR,12/10/2012,L
DAL,SAC,12/10/2012,W
POR,TOR,12/10/2012,W
DET,PHI,12/10/2012,L
HOU,SAS,12/10/2012,L
PHI,DET,12/10/2012,W
BKN,MIL,12/09/2012,L
MIL,BKN,12/09/2012,W
ORL,PHX,12/09/2012,W
OKC,IND,12/09/2012,W
IND,OKC,12/09/2012,L
NYK,DEN,12/09/2012,W
LAL,UTA,12/09/2012,L
UTA,LAL,12/09/2012,W
TOR,LAC,12/09/2012,L
LAC,TOR,12/09/2012,W
DEN,NYK,12/09/2012,L
PHX,ORL,12/09/2012,L
LAC,PHX,12/08/2012,W
PHX,LAC,12/08/2012,L
BOS,PHI,12/08/2012,W
MIA,NOH,12/08/2012,W
NOH,MIA,12/08/2012,L
CLE,DET,12/08/2012,L
PHI,BOS,12/08/2012,L
SAC,POR,12/08/2012,W
POR,SAC,12/08/2012,L
DET,CLE,12/08/2012,W
ATL,MEM,12/08/2012,W
MEM,ATL,12/08/2012,L
SAS,CHA,12/08/2012,W
CHA,SAS,12/08/2012,L
CHI,NYK,12/08/2012,W
GSW,WAS,12/08/2012,W
NYK,CHI,12/08/2012,L
DAL,HOU,12/08/2012,W
HOU,DAL,12/08/2012,L
WAS,GSW,12/08/2012,L
UTA,TOR,12/07/2012,W
MIN,CLE,12/07/2012,W
MIL,CHA,12/07/2012,W
CHA,MIL,12/07/2012,L
CLE,MIN,12/07/2012,L
TOR,UTA,12/07/2012,L
DET,CHI,12/07/2012,L
WAS,ATL,12/07/2012,L
SAS,HOU,12/07/2012,W
OKC,LAL,12/07/2012,W
LAL,OKC,12/07/2012,L
CHI,DET,12/07/2012,W
HOU,SAS,12/07/2012,L
MEM,NOH,12/07/2012,W
NOH,MEM,12/07/2012,L
SAC,ORL,12/07/2012,W
ATL,WAS,12/07/2012,W
GSW,BKN,12/07/2012,W
BKN,GSW,12/07/2012,L
IND,DEN,12/07/2012,L
BOS,PHI,12/07/2012,L
PHI,BOS,12/07/2012,W
DEN,IND,12/07/2012,W
ORL,SAC,12/07/2012,L
PHX,DAL,12/06/2012,L
DAL,PHX,12/06/2012,W
NYK,MIA,12/06/2012,W
MIA,NYK,12/06/2012,L
DET,GSW,12/05/2012,L
MIL,SAS,12/05/2012,L
TOR,SAC,12/05/2012,L
SAC,TOR,12/05/2012,W
SAS,MIL,12/05/2012,W
IND,POR,12/05/2012,W
ORL,UTA,12/05/2012,L
UTA,ORL,12/05/2012,W
CHA,NYK,12/05/2012,L
NYK,CHA,12/05/2012,W
POR,IND,12/05/2012,L
CLE,CHI,12/05/2012,L
LAC,DAL,12/05/2012,W
DAL,LAC,12/05/2012,L
DEN,ATL,12/05/2012,L
GSW,DET,12/05/2012,W
ATL,DEN,12/05/2012,W
MIN,BOS,12/05/2012,L
NOH,LAL,12/05/2012,L
BOS,MIN,12/05/2012,W
CHI,CLE,12/05/2012,W
LAL,NOH,12/05/2012,W
PHX,MEM,12/04/2012,L
MEM,PHX,12/04/2012,W
IND,CHI,12/04/2012,W
PHI,MIN,12/04/2012,L
HOU,LAL,12/04/2012,W
LAL,HOU,12/04/2012,L
CHI,IND,12/04/2012,L
MIN,PHI,12/04/2012,W
BKN,OKC,12/04/2012,L
OKC,BKN,12/04/2012,W
WAS,MIA,12/04/2012,W
MIA,WAS,12/04/2012,L
GSW,ORL,12/03/2012,L
ORL,GSW,12/03/2012,W
CLE,DET,12/03/2012,L
MIL,NOH,12/03/2012,L
DET,CLE,12/03/2012,W
NOH,MIL,12/03/2012,W
DEN,TOR,12/03/2012,W
LAC,UTA,12/03/2012,W
UTA,LAC,12/03/2012,L
CHA,POR,12/03/2012,L
POR,CHA,12/03/2012,W
TOR,DEN,12/03/2012,L
PHX,NYK,12/02/2012,L
NYK,PHX,12/02/2012,W
LAL,ORL,12/02/2012,L
ORL,LAL,12/02/2012,W
LAC,SAC,12/01/2012,W
MIL,BOS,12/01/2012,W
PHI,CHI,12/01/2012,L
CHI,PHI,12/01/2012,W
BOS,MIL,12/01/2012,L
GSW,IND,12/01/2012,W
IND,GSW,12/01/2012,L
NOH,OKC,12/01/2012,L
OKC,NOH,12/01/2012,W
MEM,SAS,12/01/2012,L
SAC,LAC,12/01/2012,L
DAL,DET,12/01/2012,W
DET,DAL,12/01/2012,L
HOU,UTA,12/01/2012,W
UTA,HOU,12/01/2012,L
MIA,BKN,12/01/2012,W
POR,CLE,12/01/2012,W
CLE,POR,12/01/2012,L
BKN,MIA,12/01/2012,L
SAS,MEM,12/01/2012,W
MIN,MIL,11/30/2012,W
WAS,NYK,11/30/2012,L
DET,MEM,11/30/2012,L
MEM,DET,11/30/2012,W
TOR,PHX,11/30/2012,W
PHX,TOR,11/30/2012,L
ORL,BKN,11/30/2012,L
BKN,ORL,11/30/2012,W
SAC,IND,11/30/2012,L
CHA,PHI,11/30/2012,L
OKC,UTA,11/30/2012,W
PHI,CHA,11/30/2012,W
NYK,WAS,11/30/2012,W
ATL,CLE,11/30/2012,L
UTA,OKC,11/30/2012,L
IND,SAC,11/30/2012,W
CLE,ATL,11/30/2012,W
MIL,MIN,11/30/2012,L
LAL,DEN,11/30/2012,W
DEN,LAL,11/30/2012,L
POR,BOS,11/30/2012,L
BOS,POR,11/30/2012,W
SAS,MIA,11/29/2012,L
MIA,SAS,11/29/2012,W
DEN,GSW,11/29/2012,L
GSW,DEN,11/29/2012,W
HOU,OKC,11/28/2012,L
POR,WAS,11/28/2012,L
WAS,POR,11/28/2012,W
LAC,MIN,11/28/2012,W
OKC,HOU,11/28/2012,W
CHA,ATL,11/28/2012,L
MIN,LAC,11/28/2012,L
DAL,CHI,11/28/2012,L
NOH,UTA,11/28/2012,L
UTA,NOH,11/28/2012,W
SAS,ORL,11/28/2012,W
BKN,BOS,11/28/2012,W
ORL,SAS,11/28/2012,L
CHI,DAL,11/28/2012,W
NYK,MIL,11/28/2012,W
MIL,NYK,11/28/2012,L
DET,PHX,11/28/2012,W
PHX,DET,11/28/2012,L
ATL,CHA,11/28/2012,W
MEM,TOR,11/28/2012,W
TOR,MEM,11/28/2012,L
BOS,BKN,11/28/2012,L
CLE,PHX,11/27/2012,L
SAC,MIN,11/27/2012,L
MIN,SAC,11/27/2012,W
HOU,TOR,11/27/2012,W
PHX,CLE,11/27/2012,W
TOR,HOU,11/27/2012,L
DAL,PHI,11/27/2012,L
IND,LAL,11/27/2012,W
LAL,IND,11/27/2012,L
PHI,DAL,11/27/2012,W
SAS,WAS,11/26/2012,W
POR,DET,11/26/2012,L
MIL,CHI,11/26/2012,W
WAS,SAS,11/26/2012,L
DEN,UTA,11/26/2012,L
UTA,DEN,11/26/2012,W
MEM,CLE,11/26/2012,W
CLE,MEM,11/26/2012,L
CHA,OKC,11/26/2012,L
OKC,CHA,11/26/2012,W
NYK,BKN,11/26/2012,L
LAC,NOH,11/26/2012,L
NOH,LAC,11/26/2012,W
BKN,NYK,11/26/2012,W
CHI,MIL,11/26/2012,L
DET,POR,11/26/2012,W
ORL,BOS,11/25/2012,L
BOS,ORL,11/25/2012,W
NOH,DEN,11/25/2012,L
NYK,DET,11/25/2012,W
DET,NYK,11/25/2012,L
TOR,SAS,11/25/2012,L
SAS,TOR,11/25/2012,W
POR,BKN,11/25/2012,L
BKN,POR,11/25/2012,W
PHI,PHX,11/25/2012,W
PHX,PHI,11/25/2012,L
DEN,NOH,11/25/2012,W
WAS,CHA,11/24/2012,L
CHA,WAS,11/24/2012,W
UTA,SAC,11/24/2012,L
CLE,MIA,11/24/2012,L
MIA,CLE,11/24/2012,W
GSW,MIN,11/24/2012,W
MIN,GSW,11/24/2012,L
LAC,ATL,11/24/2012,L
ATL,LAC,11/24/2012,W
LAL,DAL,11/24/2012,W
PHI,OKC,11/24/2012,L
OKC,PHI,11/24/2012,W
CHI,MIL,11/24/2012,W
DAL,LAL,11/24/2012,L
MIL,CHI,11/24/2012,L
SAC,UTA,11/24/2012,W
GSW,DEN,11/23/2012,L
LAL,MEM,11/23/2012,L
DET,TOR,11/23/2012,W
TOR,DET,11/23/2012,L
HOU,NYK,11/23/2012,W
NYK,HOU,11/23/2012,L
PHX,NOH,11/23/2012,W
NOH,PHX,11/23/2012,L
SAC,UTA,11/23/2012,L
UTA,SAC,11/23/2012,W
MIN,POR,11/23/2012,L
POR,MIN,11/23/2012,W
LAC,BKN,11/23/2012,L
BKN,LAC,11/23/2012,W
BOS,OKC,11/23/2012,W
MEM,LAL,11/23/2012,W
SAS,IND,11/23/2012,W
IND,SAS,11/23/2012,L
CLE,ORL,11/23/2012,L
ORL,CLE,11/23/2012,W
CHA,ATL,11/23/2012,L
ATL,CHA,11/23/2012,W
DEN,GSW,11/23/2012,W
OKC,BOS,11/23/2012,L
DET,ORL,11/21/2012,L
ORL,DET,11/21/2012,W
MIA,MIL,11/21/2012,W
MIL,MIA,11/21/2012,L
WAS,ATL,11/21/2012,L
ATL,WAS,11/21/2012,W
LAL,SAC,11/21/2012,L
SAC,LAL,11/21/2012,W
TOR,CHA,11/21/2012,L
NYK,DAL,11/21/2012,L
DAL,NYK,11/21/2012,W
PHX,POR,11/21/2012,W
POR,PHX,11/21/2012,L
HOU,CHI,11/21/2012,W
CHI,HOU,11/21/2012,L
GSW,BKN,11/21/2012,W
BKN,GSW,11/21/2012,L
SAS,BOS,11/21/2012,W
BOS,SAS,11/21/2012,L
IND,NOH,11/21/2012,W
NOH,IND,11/21/2012,L
CHA,TOR,11/21/2012,W
PHI,CLE,11/21/2012,L
CLE,PHI,11/21/2012,W
OKC,LAC,11/21/2012,W
LAC,OKC,11/21/2012,L
MIN,DEN,11/21/2012,L
DEN,MIN,11/21/2012,W
NOH,NYK,11/20/2012,L
NYK,NOH,11/20/2012,W
BKN,LAL,11/20/2012,L
LAL,BKN,11/20/2012,W
PHI,TOR,11/20/2012,W
TOR,PHI,11/20/2012,L
GSW,DAL,11/19/2012,W
DAL,GSW,11/19/2012,L
SAS,LAC,11/19/2012,L
LAC,SAS,11/19/2012,W
CHA,MIL,11/19/2012,W
DEN,MEM,11/19/2012,W
MEM,DEN,11/19/2012,L
ATL,ORL,11/19/2012,W
UTA,HOU,11/19/2012,W
HOU,UTA,11/19/2012,L
MIL,CHA,11/19/2012,L
ORL,ATL,11/19/2012,L
IND,WAS,11/19/2012,W
WAS,IND,11/19/2012,L
LAL,HOU,11/18/2012,W
HOU,LAL,11/18/2012,L
DET,BOS,11/18/2012,W
BOS,DET,11/18/2012,L
BKN,SAC,11/18/2012,W
SAC,BKN,11/18/2012,L
CLE,PHI,11/18/2012,L
PHI,CLE,11/18/2012,W
OKC,GSW,11/18/2012,W
TOR,ORL,11/18/2012,W
ORL,TOR,11/18/2012,L
IND,NYK,11/18/2012,L
NYK,IND,11/18/2012,W
GSW,OKC,11/18/2012,L
POR,CHI,11/18/2012,W
CHI,POR,11/18/2012,L
PHX,MIA,11/17/2012,L
MIA,PHX,11/17/2012,W
UTA,WAS,11/17/2012,W
WAS,UTA,11/17/2012,L
CLE,DAL,11/17/2012,L
DAL,CLE,11/17/2012,W
SAS,DEN,11/17/2012,W
DEN,SAS,11/17/2012,L
MIL,NOH,11/17/2012,W
BOS,TOR,11/17/2012,W
TOR,BOS,11/17/2012,L
LAC,CHI,11/17/2012,W
CHI,LAC,11/17/2012,L
NOH,MIL,11/17/2012,L
MEM,CHA,11/17/2012,W
CHA,MEM,11/17/2012,L
DAL,IND,11/16/2012,L
IND,DAL,11/16/2012,W
ORL,DET,11/16/2012,W
DET,ORL,11/16/2012,L
GSW,MIN,11/16/2012,W
PHI,UTA,11/16/2012,W
MIN,GSW,11/16/2012,L
NOH,OKC,11/16/2012,L
OKC,NOH,11/16/2012,W
UTA,PHI,11/16/2012,L
MEM,NYK,11/16/2012,W
NYK,MEM,11/16/2012,L
PHX,LAL,11/16/2012,L
LAL,PHX,11/16/2012,W
POR,HOU,11/16/2012,W
SAC,ATL,11/16/2012,L
ATL,SAC,11/16/2012,W
